33208300,Sagem,MC850M314-B0  ,,,
33208400,Sagem,MC855M314-P5  ,,,
33208500,Sagem,MC858M314-B0  ,,,
33208600,Sagem,MC859M314-P9  ,,,
33208700,Sagem,MC840MM314-B0  ,,,
33208800,Sagem,DMC830M314-B0  ,,,
33208900,Sagem,DMC838M314-B5  ,,,
33209000,Sagem,DMC835M314-B5  ,,,
33209100,Sagem,DMC839M314-B9  ,,,
33209500,Sagem,MC922SM41S-P  ,,,
33209600,Sagem,MC942SM41S-P  ,,,
33209700,Alcatel,One Touch Club DBBE1  ,,,
33209800,Alcatel,One Touch Club DBBE1  ,,,
33210000,Sagem,GSM2410M312-P0  ,,,
33210100,Sagem,MC850M314-P0  ,,,
33210200,Sagem,MC840MM314-P0  ,,,
33210300,Sagem,MC840M314-P0  ,,,
33210400,Sagem,M312B0-GR,,,
33210500,Sagem,M312B5-GR,,,
33210600,Sagem,M312P0-GR,,,
33210700,Sagem,M312P5-GR,,,
33211000,Alcatel,One Touch Gum DBBE1  ,,,
33211100,Alcatel,One Touch Gum DBBE1  ,,,
33211200,Alcatel,One Touch View DBBE3  ,,,
33211300,Alcatel,One Touch View DBBE3  ,,,
33211400,Alcatel,One Touch Max DBBE1  ,,,
33211500,Alcatel,One Touch Max DBBE1  ,,,
33211600,Sagem,MC922SM412S-P  ,,,
33211700,Sagem,MC942SM412S-P  ,,,
33211800,Sagem,M412S-P,,,
33211900,Sagem,M412S-B,,,
33212000,Sagem,MC939M41F-P M412F-P  ,,,
33212100,Sagem,M412F-B,,,
33212200,Sagem,MC930M412P-P  ,,,
33212300,Sagem,MC922SM413S-P  ,,,
33212400,Sagem,MC932SM413S-P  ,,,
33212500,Sagem,M413S-P,,,
33212600,Sagem,M413S-B,,,
33212700,Sagem,M413F-P,,,
33212800,Sagem,M413F-B,,,
33212900,Sagem,M413P-P,,,
33213000,Alcatel,One Touch Easy DBBE1  ,,,
33213100,Alcatel,One Touch Easy DBBE1  ,,,
33213200,Alcatel,One Touch Easy DBBE1  ,,,
33213300,Alcatel,One Touch Easy DBBE1  ,,,
33213400,Alcatel,One Touch Easy DBBE1  ,,,
33213500,Alcatel,One Touch Club DBBE1  ,,,
33213600,Alcatel,One Touch Club DBBE1  ,,,
33213700,Alcatel,One Touch Club DBBE1  ,,,
33213800,Alcatel,One Touch Club DBBE1  ,,,
33213900,Alcatel,One Touch Club DBBE1  ,,,
33214000,Alcatel,One Touch View DBBE3  ,,,
33214100,Alcatel,One Touch View DBBE3  ,,,
33215200,Sagem,M413PL-P,,,
33215300,Sagem,M413PL-B,,,
33215700,Alcatel,One Touch 300/301/302BE4  ,,,
33215800,Alcatel,One Touch 300/301BE4  ,,,
33215900,Alcatel,One Touch 300/301BE4  ,,,
33216000,Alcatel,One Touch 300/301BE4  ,,,
33216100,Alcatel,One Touch 300/301BE4  ,,,
33216200,Alcatel,One Touch 300/301BE4  ,,,
33216300,Alcatel,One Touch 300/301BE4  ,,,
33216400,Alcatel,One Touch 300/301BE4  ,,,
33216500,Alcatel,One Touch 300/301BE4  ,,,
33216600,Alcatel,One Touch 300/301BE3  ,,,
33216700,Alcatel,One Touch 302/303BE4  ,,,
33216800,Alcatel,One Touch 302/303BE4  ,,,
33216900,Alcatel,One Touch 302/303BE4  ,,,
33217000,Alcatel,One Touch 302/303BE4  ,,,
33217100,Alcatel,One Touch 302/303BE4  ,,,
33217200,Alcatel,One Touch 302/303BE4  ,,,
33217300,Alcatel,One Touch 302/303BE4  ,,,
33217400,Alcatel,One Touch 302/303BE4  ,,,
33217500,Alcatel,One Touch 302/303BE4  ,,,
33217600,Alcatel,One Touch 302/303BE4  ,,,
33217700,Sagem,M42FB,,,
33217800,Sagem,MW939M42FP  ,,,
33217900,Sagem,M42PB,,,
33218000,Sagem,M42PLB,,,
33218100,Sagem,MW936M42PLPFTT36  ,,,
33218200,Sagem,MW930M42PP  ,,,
33218300,Sagem,M42SB,,,
33218400,Sagem,M42SP,,,
33218500,Alcatel,One Touch 500/501BE5  ,,,
33218600,Alcatel,One Touch 500/501BE5  ,,,
33218700,Alcatel,One Touch 500/501BE5  ,,,
33218800,Alcatel,One Touch 500/501BE5  ,,,
33218900,Alcatel,One Touch 500/501BE5  ,,,
33219000,Alcatel,One Touch 700/701BE5  ,,,
33219100,Alcatel,One Touch 700/701BE5  ,,,
33219200,Alcatel,One Touch 700/701BE5  ,,,
33219300,Alcatel,One Touch 700/701BE5  ,,,
33219400,Alcatel,One Touch 700/701BE5  ,,,
33219700,Sagem,MC932 EM413S-B  ,,,
33220800,Sagem,M413SP,,,
33220900,Sagem,M413SP,,,
33221000,Sagem,M413SP,,,
33221100,Sagem,M412PP,,,
33221200,Sagem,M412PP,,,
33221400,Sagem,M412SP,,,
33221500,Sagem,M412P,,,
33221600,Sagem,M412SP,,,
33221700,Sagem,MR940GPH42  ,,,
33221800,Sagem,M51,,,
33221900,Sagem,MC3000M51  ,,,
33222000,Sagem,MC3020M51  ,,,
33222100,Sagem,MW3020M51  ,,,
33222200,Sagem,MW956M42PLP  ,,,
33222300,Sagem,MW952M42SP  ,,,
33222400,Sagem,MW950M42PP  ,,,
33222500,Sagem,MW959M42FP  ,,,
33222600,Sagem,MW970M42PP  ,,,
33222700,Sagem,MW972M42SP  ,,,
33222800,Sagem,MW976M42PLP  ,,,
33222900,Sagem,MW979M42FP  ,,,
33223000,Sagem,WA3050IMAGE  ,,,
33223100,Sagem,WA3020IMAGE  ,,,
33223200,Sagem,MD958,,,
33223300,Sagem,MD958,,,
33223400,Sagem,MD958,,,
33223500,Sagem,MD958,,,
33223600,Sagem,MD958,,,
33223700,Sagem,MD958,,,
33223800,Sagem,M422SP,,,
33223900,Sagem,M422SB,,,
33224000,Sagem,M422PP,,,
33224100,Sagem,M422PLP,,,
33224200,Sagem,M422PLB,,,
33224300,Sagem,M422FP,,,
33224400,Sagem,M422FB,,,
33224500,Sagem,MW988M42FP  ,,,
33224600,Sagem,GD950,,,
33224700,Sagem,G950,,,
33224800,Sagem,GD920,,,
33224900,Sagem,G920,,,
33225000,Sagem,M413P-P,,,
33225100,Sagem,G422FB,,,
33225200,Sagem,G422FB,,,
33225300,Sagem,G422FP,,,
33225400,Sagem,G422FP,,,
33225500,Sagem,G422PL-P,,,
33225600,Sagem,G422PL-P,,,
33225700,Sagem,G422PL-B,,,
33225800,Sagem,G422PL-B,,,
33225900,Sagem,G422SP,,,
33226000,Sagem,G422SP,,,
33226100,Sagem,G422SB,,,
33226200,Sagem,G422SB,,,
33226300,Sagem,G422P-P,,,
33226400,Sagem,G422P-P,,,
33226500,Sagem,M42FB,,,
33226600,Sagem,M42FP,,,
33226700,Sagem,M42SP,,,
33226800,Sagem,M42SB,,,
33226900,Sagem,M42PP,,,
33227000,Sagem,M42PLB,,,
33227100,Sagem,M42PLP,,,
33227300,Sagem,M42PB,,,
33227400,Sagem,M42SP,,,
33227500,Sagem,M42PLP,,,
33227600,Sagem,M42PLB,,,
33227700,Sagem,M42PP,,,
33227800,Sagem,M42FP,,,
33227900,Sagem,M42FB,,,
33228000,Sagem,M42SB,,,
33228100,Sagem,RT30,,,
33228200,Sagem,MW952M42SP  ,,,
33228300,Sagem,MW932M42SP  ,,,
33228400,Alcatel,One Touch 310/311BF3  ,,,
33228500,Alcatel,One Touch 310/311BF3  ,,,
33228600,Alcatel,One Touch 310/311BF3  ,,,
33228700,Alcatel,One Touch 310/311BF3  ,,,
33228800,Alcatel,One Touch 310/311BF3  ,,,
33228900,Alcatel,One Touch 311BF3  ,,,
33229000,Alcatel,One Touch 511BF4  ,,,
33229100,Alcatel,One Touch XXXBF4  ,,,
33229200,Alcatel,One Touch XXXBF4  ,,,
33229300,Alcatel,One Touch 512BF4  ,,,
33229400,Alcatel,One Touch XXXBF4  ,,,
33229500,Alcatel,One Touch XXXBF4  ,,,
33229600,Sagem,M42PP,,,
33229700,Sagem,M42PLB,,,
33229800,Sagem,M42PLP,,,
33229900,Sagem,M42SP,,,
33230000,Sagem,M42SB,,,
33230100,Sagem,M42FB,,,
33230200,Sagem,M42FP,,,
33230300,Sagem,M42PB,,,
33230400,Sagem,MW3026M51-6  ,,,
